cell,assigned,dominant,continent,share,land_frac,verdict,breakdown,rows,images
Antarctica_60_-90_65_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_65_-90_70_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_70_-90_75_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_75_-90_80_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_80_-90_85_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_85_-90_90_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_90_-90_95_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_95_-90_100_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_100_-90_105_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_105_-90_110_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_110_-90_115_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_115_-90_120_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_120_-90_125_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_125_-90_130_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_130_-90_135_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_135_-90_140_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_140_-90_145_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_145_-90_150_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_150_-90_155_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_155_-90_160_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_160_-90_165_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_165_-90_170_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_170_-90_175_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_175_-90_180_-85,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-180_-85_-175_-80,Antarctica,Antarctica,Antarctica,1.0,0.12,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-175_-85_-170_-80,Antarctica,Antarctica,Antarctica,1.0,0.133,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-170_-85_-165_-80,Antarctica,Antarctica,Antarctica,1.0,0.145,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-165_-85_-160_-80,Antarctica,Antarctica,Antarctica,1.0,0.26,ocean-label-kept,Antarctica 100%,0,0
